hour,day,opti_function,volatility,event,source,cumulative_f
168.0,8.0,1413.7842,1.0,NORMAL,IB,1413.7842
169.0,8.0,1620.654087361806,1.0,NORMAL,IB,3034.438287361806
170.0,8.0,1172.8581846548527,1.0,NORMAL,IB,4207.296472016658
171.0,8.0,-377.3807395581505,1.0,NORMAL,IB,3829.9157324585076
172.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
173.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
174.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
175.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
176.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
177.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
178.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
179.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
180.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
181.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
182.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
183.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
184.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
185.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
186.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
187.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
188.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
189.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
190.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
191.0,8.0,0.0,1.0,NORMAL,IB,3829.9157324585076
192.0,9.0,-398.34008,1.0,NORMAL,IB,3431.5756524585076
193.0,9.0,581.83156850463,1.0,NORMAL,IB,4013.4072209631377
194.0,9.0,325.041463608877,1.0,NORMAL,IB,4338.448684572015
195.0,9.0,-10.970160474901506,1.0,NORMAL,IB,4327.478524097113
196.0,9.0,974.6539123419676,1.0,NORMAL,IB,5302.132436439081
197.0,9.0,-25.25467607270629,1.0,NORMAL,IB,5276.877760366375
198.0,9.0,18.569680595486016,1.0,NORMAL,IB,5295.447440961861
199.0,9.0,7.080053646355104,1.0,NORMAL,IB,5302.527494608215
200.0,9.0,501.6480787127842,1.0,NORMAL,IB,5804.175573320999
201.0,9.0,0.48668567058893836,1.0,NORMAL,IB,5804.662258991588
202.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
203.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
204.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
205.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
206.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
207.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
208.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
209.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
210.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
211.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
212.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
213.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
214.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
215.0,9.0,0.0,1.0,NORMAL,IB,5804.662258991588
216.0,10.0,2.3475200000000003,1.0,NORMAL,IB,5807.009778991588
217.0,10.0,0.880461515923541,1.0,NORMAL,IB,5807.890240507511
218.0,10.0,2.100987002910839,1.0,NORMAL,IB,5809.9912275104225
219.0,10.0,5.248213529738445,1.0,NORMAL,IB,5815.239441040161
220.0,10.0,9.909679313076005,1.0,NORMAL,IB,5825.149120353237
221.0,10.0,9.740177781583906,1.0,NORMAL,IB,5834.889298134821
222.0,10.0,511.0017865752639,1.0,NORMAL,IB,6345.891084710085
223.0,10.0,14.428260951295357,1.0,NORMAL,IB,6360.319345661381
224.0,10.0,19.55794761080076,1.0,NORMAL,IB,6379.877293272181
225.0,10.0,518.6921292044585,1.0,NORMAL,IB,6898.569422476639
226.0,10.0,-3.4349368509126617,1.0,NORMAL,IB,6895.1344856257265
227.0,10.0,468.2703831679929,1.0,NORMAL,IB,7363.404868793719
228.0,10.0,-368.05381383843496,1.0,NORMAL,IB,6995.351054955285
229.0,10.0,779.2906555324687,1.0,NORMAL,IB,7774.641710487754
230.0,10.0,123.92541658011811,1.0,NORMAL,IB,7898.567127067872
231.0,10.0,-196.9395070787756,1.0,NORMAL,IB,7701.627619989096
232.0,10.0,-14.733069321153527,1.0,NORMAL,IB,7686.894550667943
233.0,10.0,16.756068477726842,1.0,NORMAL,IB,7703.65061914567
234.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
235.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
236.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
237.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
238.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
239.0,10.0,0.0,1.0,NORMAL,IB,7703.65061914567
240.0,11.0,2.29208,1.0,NORMAL,IB,7705.94269914567
241.0,11.0,2.355171364077583,1.0,NORMAL,IB,7708.297870509748
242.0,11.0,1.7029444654857118,1.0,NORMAL,IB,7710.000814975233
243.0,11.0,1.4208118346395495,1.0,NORMAL,IB,7711.421626809873
244.0,11.0,3.4347614450297606,1.0,NORMAL,IB,7714.856388254902
245.0,11.0,2.544190226756294,1.0,NORMAL,IB,7717.400578481659
246.0,11.0,3.618585243445349,1.0,NORMAL,IB,7721.019163725105
247.0,11.0,2.908129273997802,1.0,NORMAL,IB,7723.927292999102
248.0,11.0,1.9303162603014916,1.0,NORMAL,IB,7725.857609259404
249.0,11.0,3.000684472352119,1.0,NORMAL,IB,7728.858293731756
250.0,11.0,0.6584483981941067,1.0,NORMAL,IB,7729.51674212995
251.0,11.0,1.408650350960317,1.0,NORMAL,IB,7730.925392480911
252.0,11.0,3.621803176750321,1.0,NORMAL,IB,7734.547195657661
253.0,11.0,2.703283505903347,1.0,NORMAL,IB,7737.250479163565
254.0,11.0,5.841054698330966,1.0,NORMAL,IB,7743.091533861896
255.0,11.0,3.3386606346091066,1.0,NORMAL,IB,7746.4301944965055
256.0,11.0,6.20253333829894,1.0,NORMAL,IB,7752.632727834804
257.0,11.0,7.752608349248158,1.0,NORMAL,IB,7760.385336184053
258.0,11.0,11.481871599501615,1.0,NORMAL,IB,7771.8672077835545
259.0,11.0,5.877308397641113,1.0,NORMAL,IB,7777.744516181196
260.0,11.0,16.266805835237697,1.0,NORMAL,IB,7794.011322016433
261.0,11.0,13.58487145365813,1.0,NORMAL,IB,7807.596193470091
262.0,11.0,29.18995510731913,1.0,NORMAL,IB,7836.78614857741
263.0,11.0,538.8893667557592,1.0,NORMAL,IB,8375.675515333169
264.0,12.0,-216.16006000000004,1.0,NORMAL,IB,8159.515455333169
265.0,12.0,1433.3597762921127,1.0,NORMAL,IB,9592.875231625281
266.0,12.0,-92.90790639292253,1.0,NORMAL,IB,9499.96732523236
267.0,12.0,821.233593525415,1.0,NORMAL,IB,10321.200918757775
268.0,12.0,2010.930965398577,1.0,NORMAL,IB,12332.131884156352
269.0,12.0,18.054784946260714,1.0,NORMAL,IB,12350.186669102612
270.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
271.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
272.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
273.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
274.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
275.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
276.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
277.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
278.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
279.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
280.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
281.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
282.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
283.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
284.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
285.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
286.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
287.0,12.0,0.0,1.0,NORMAL,IB,12350.186669102612
288.0,13.0,-119.13374000000002,0.0,CRASH,IB,12231.052929102612
289.0,13.0,-230.79630292342657,0.0,CRASH,IB,12000.256626179185
290.0,13.0,-135.63464716308798,0.0,CRASH,IB,11864.621979016098
291.0,13.0,-94.8449003410382,0.0,CRASH,IB,11769.777078675059
292.0,13.0,-73.32610589831916,0.0,CRASH,IB,11696.45097277674
293.0,13.0,-47.285955539743746,0.0,CRASH,IB,11649.165017236995
294.0,13.0,-28.17073013634562,0.0,CRASH,IB,11620.99428710065
