hour,day,opti_function,volatility,event,source,cumulative_f
168.0,8.0,1386.599,1.0,NORMAL,IB,1386.599
169.0,8.0,-165.8557060168439,1.0,NORMAL,IB,1220.743293983156
170.0,8.0,191.88896468619183,1.0,NORMAL,IB,1412.632258669348
171.0,8.0,-533.3996639131516,1.0,NORMAL,IB,879.2325947561964
172.0,8.0,-560.3500011461107,1.0,NORMAL,IB,318.8825936100857
173.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
174.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
175.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
176.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
177.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
178.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
179.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
180.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
181.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
182.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
183.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
184.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
185.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
186.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
187.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
188.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
189.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
190.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
191.0,8.0,0.0,1.0,NORMAL,IB,318.8825936100857
192.0,9.0,1.2,1.0,NORMAL,IB,320.08259361008567
193.0,9.0,1.2638203577849871,1.0,NORMAL,IB,321.34641396787066
194.0,9.0,2.4561920747440915,1.0,NORMAL,IB,323.80260604261474
195.0,9.0,506.2165657283699,1.0,NORMAL,IB,830.0191717709847
196.0,9.0,3.9254416514625836,1.0,NORMAL,IB,833.9446134224473
